IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
137.184.168.43,137.184.168.43,443,255.29,CA,YYZ,20.83,34.92
159.203.2.180,159.203.2.180,443,207.67,CA,YYZ,32.54,29.71
40.233.77.216,2603:c021:5:8c88::825,443,178.32,CA,YYZ,29.6,33.78
40.233.87.120,2603:c021:4:9a88::1016,443,128.94,CA,YYZ,17.23,22.74
167.160.190.137,167.160.190.137,443,128.52,CA,YYZ,36.41,83.4
72.11.146.199,72.11.146.199,443,107.67,CA,YYZ,14.59,56.29
72.11.145.117,72.11.145.117,443,103.64,CA,YYZ,14.54,58.89
65.49.232.101,65.49.232.101,443,102.52,CA,YVR,49.28,69.08
172.98.207.58,172.98.207.6,443,68.0,CA,YYZ,39.01,50.88
40.233.116.225,40.233.116.225,443,45.32,CA,YYZ,18.91,26.7
40.233.110.251,2603:c021:4:9a88::1018,443,45.24,CA,YYZ,20.79,32.95
68.233.122.42,68.233.122.42,443,42.97,CA,YUL,26.49,32.26
40.233.71.238,2603:c021:5:8c88::1006,443,32.95,CA,YYZ,14.38,21.04
40.233.103.212,2603:c021:5:8c88::1008,443,30.72,CA,YYZ,15.08,21.74
204.216.107.15,204.216.107.15,443,26.82,CA,YUL,27.66,48.65
140.238.144.211,2603:c021:4:9a88::1022,443,26.49,CA,YYZ,17.52,23.48
45.133.17.106,45.133.17.106,443,18.11,CA,YYZ,20.28,35.19
150.242.90.205,150.242.90.205,443,13.73,CA,YVR,49.47,54.44
158.69.112.254,158.69.112.254,443,11.09,CA,YYZ,24.84,47.88
157.230.68.193,137.184.168.43,443,10.33,CA,YYZ,16.35,26.27
40.233.99.248,2603:c021:4:9a88::1020,443,8.46,CA,YYZ,17.13,23.92
82.38.139.231,82.38.139.231,443,11.36,CH,ZRH,121.94,145.54
141.227.139.220,141.227.139.220,443,7.34,CH,ZRH,125.91,143.04
38.180.85.203,38.180.85.203,443,7.32,CH,MXP,125.83,168.91
194.87.18.208,194.87.18.208,443,6.8,CH,ZRH,150.19,136.53
152.67.64.55,152.67.64.55,443,6.68,CH,ZRH,115.7,124.71
91.245.225.69,91.245.225.69,443,6.64,CH,ZRH,116.79,199.9
38.244.145.50,38.244.145.50,443,6.53,CH,MXP,118.34,136.29
83.228.193.188,83.228.193.188,8443,6.0,CH,GVA,129.04,136.77
82.38.64.162,82.38.64.162,443,5.97,CH,ZRH,130.53,153.44
